Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Strain	Organism Infraspecific Names Isolate	Assembly Name	Assembly Level	Assembly BioProject Lineage Accession	Assembly BioSample Accession	Assembly Submitter	Assembly Release Date	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats GC Percent
GCA_038900515.1	Burkholderia sp. JPY481	667685	JPY481		ASM3890051v1	Contig	PRJNA1062061	SAMN39286541	The James Hutton Institute	2024-04-30	8704779	258	316094	316094	63
GCA_000519245.1	Burkholderia sp. UYPR1.413	1080179	UYPR1.413		ASM51924v1	Scaffold	PRJNA165303	SAMN02584916	DOE Joint Genome Institute	2014-01-13	10363941	341	100282	102227	62.5
GCA_001598055.1	Cupriavidus nantongensis	1796606	X1		ASM159805v1	Chromosome	PRJNA315593	SAMN04566111	Beijing Novogene Bioinformatics Technology Co., Ltd	2016-03-28	7136420	5	1739799	4619440	66.5
GCA_022041995.1	Cupriavidus necator	106590	UYPR2.512		ASM2204199v1	Chromosome	PRJNA720661	SAMN18649619	Instituto de Investigaciones Biologicas Clemente Estable	2022-01-07	9606292	10	2841770	2841770	64.5
GCA_000372525.1	Cupriavidus neocaledonicus	1040979	STM6070		ASM37252v1	Contig	PRJNA165313	SAMN02256497	DOE Joint Genome Institute	2013-04-19	6771773	107	155095	155095	67
GCA_038900635.1	Cupriavidus oxalaticus	96344	JPY540		ASM3890063v1	Contig	PRJNA1062061	SAMN39286535	The James Hutton Institute	2024-04-30	7765532	131	233231	233231	66
GCA_001592245.1	Cupriavidus oxalaticus NBRC 13593	1349762	NBRC 13593		ASM159224v1	Contig	PRJDB1346	SAMD00046921	National Institute of Technology and Evaluation	2016-03-04	6644955	65	243729	243729	67
GCA_000426345.1	Cupriavidus phytohabitans	2821359	AMP6		ASM42634v1	Scaffold	PRJNA195776	SAMN02441535	DOE Joint Genome Institute	2013-07-11	7579563	264	96713	99632	65.5
GCA_900249745.1	Cupriavidus phytorum	3024399	LMG 19430		CBM2586	Chromosome	PRJEB23670	SAMEA104420994	INSTITUT PASTEUR	2018-08-08	6786979	73	741802	3487502	67
GCA_001725945.1	Cupriavidus sp. UYMMa02A	1774745	UYMMa02A		ASM172594v1	Contig	PRJNA306671	SAMN04359667	IIBCE	2016-09-14	8184122	307	58238	58238	64
