host	donor	requested_pct	donor_pct	verdict	donor_contigs	recall_ctg	recall_bp	precision_bp	host_false_pos	donor_as_replicon	donor_as_host_region	duplicated_markers	duplication_pct
GCF_000020045.1	GCF_001449005.1	0.0	0.0	clean	0	None	None	None	0	0	0	0	0.0
GCF_000020045.1	GCF_001449005.1	1.0	1.04	clean	4	0.0	0.0	None	0	0	0	0	0.0
GCF_000020045.1	GCF_001449005.1	2.0	2.19	clean	6	0.0	0.0	None	0	0	0	0	0.0
GCF_000020045.1	GCF_001449005.1	5.0	5.02	likely	21	0.0	0.0	None	0	0	0	31	25.0
GCF_000020045.1	GCF_001449005.1	10.0	10.07	likely	46	0.0	0.0	None	0	0	0	13	10.48
GCF_000020045.1	GCF_001449005.1	20.0	20.04	likely	101	0.0	0.0	None	0	3	0	18	14.52
GCF_000020045.1	GCA_040965455.1	0.0	0.0	clean	0	None	None	None	0	0	0	0	0.0
GCF_000020045.1	GCA_040965455.1	1.0	1.12	clean	6	0.0	0.0	None	0	0	0	0	0.0
GCF_000020045.1	GCA_040965455.1	2.0	2.05	clean	9	0.0	0.0	None	0	0	0	1	0.81
GCF_000020045.1	GCA_040965455.1	5.0	5.09	possible	18	0.0	0.0	None	0	0	0	4	3.23
GCF_000020045.1	GCA_040965455.1	10.0	10.01	likely	37	0.0	0.0	None	0	2	0	13	10.48
GCF_000020045.1	GCA_040965455.1	20.0	20.23	likely	98	0.0	0.0	None	0	1	0	23	18.55
GCF_000020045.1	GCA_001598055.1	0.0	0.0	clean	0	None	None	None	0	0	0	0	0.0
GCF_000020045.1	GCA_001598055.1	1.0	1.02	clean	4	0.0	0.0	None	0	2	0	0	0.0
GCF_000020045.1	GCA_001598055.1	2.0	2.05	clean	6	0.0	0.0	None	0	6	0	0	0.0
GCF_000020045.1	GCA_001598055.1	5.0	5.04	likely	21	0.81	0.905	1.0	0	2	0	10	8.06
GCF_000020045.1	GCA_001598055.1	10.0	10.01	likely	42	0.929	0.98	0.598	21	0	0	14	11.29
GCF_000020045.1	GCA_001598055.1	20.0	20.06	likely	101	0.693	0.876	0.747	19	0	0	65	52.42
GCF_013366925.1	GCA_900249745.1	0.0	0.0	clean	0	None	None	0.0	1	0	0	0	0.0
GCF_013366925.1	GCA_900249745.1	1.0	1.02	possible	6	0.167	0.21	0.736	1	0	0	2	1.61
GCF_013366925.1	GCA_900249745.1	2.0	2.14	clean	10	0.2	0.209	0.855	1	0	0	1	0.81
GCF_013366925.1	GCA_900249745.1	5.0	5.03	clean	21	0.0	0.0	0.0	1	0	0	1	0.81
GCF_013366925.1	GCA_900249745.1	10.0	10.34	likely	45	0.067	0.076	1.0	0	0	0	19	15.32
GCF_013366925.1	GCA_900249745.1	20.0	20.22	likely	104	0.01	0.002	1.0	0	4	0	30	24.19
