genome	seed	requested_pieces	scored_contigs	verdict	suspect_contigs	suspect_fraction_pct	replicon_contigs	flagged_groups	carries_core_markers	bimodal	mean_contig_kb
GCA_000069785.1	0	10	10	clean	0	0.0	1	1	0	True	647.7
GCA_000069785.1	1	10	10	clean	0	0.0	1	1	0	True	647.7
GCA_000069785.1	2	10	10	clean	0	0.0	1	1	0	True	647.7
GCA_000069785.1	3	10	10	clean	0	0.0	1	1	0	True	647.7
GCA_000069785.1	4	10	10	clean	0	0.0	1	1	0	True	647.7
GCA_000069785.1	5	10	10	clean	0	0.0	1	1	0	True	647.7
GCA_000069785.1	6	10	10	clean	0	0.0	1	1	0	True	647.7
GCA_000069785.1	7	10	10	clean	0	0.0	1	1	0	True	647.7
GCA_000069785.1	0	50	47	clean	0	0.0	4	2	0	True	132.2
GCA_000069785.1	1	50	46	clean	0	0.0	4	1	0	True	132.2
GCA_000069785.1	2	50	46	clean	0	0.0	7	1	0	True	132.2
GCA_000069785.1	3	50	49	clean	0	0.0	6	1	0	True	132.2
GCA_000069785.1	4	50	47	clean	0	0.0	5	1	0	True	132.2
GCA_000069785.1	5	50	48	clean	0	0.0	5	2	0	True	132.2
GCA_000069785.1	6	50	49	clean	0	0.0	6	1	0	True	132.2
GCA_000069785.1	7	50	48	clean	0	0.0	4	1	0	True	132.2
GCA_000069785.1	0	100	99	clean	0	0.0	11	1	0	True	64.1
GCA_000069785.1	1	100	100	clean	0	0.0	14	1	0	True	64.1
GCA_000069785.1	2	100	95	clean	0	0.0	11	1	0	True	64.1
GCA_000069785.1	3	100	100	clean	0	0.0	11	1	0	True	64.1
GCA_000069785.1	4	100	99	clean	0	0.0	0	1	0	True	64.1
GCA_000069785.1	5	100	96	clean	0	0.0	11	1	0	True	64.1
GCA_000069785.1	6	100	94	clean	0	0.0	0	1	0	True	64.1
GCA_000069785.1	7	100	99	clean	1	0.06	0	2	0	True	64.1
GCA_000069785.1	0	300	259	clean	0	0.0	28	1	0	True	21.6
GCA_000069785.1	1	300	263	clean	1	0.14	0	2	0	True	21.6
GCA_000069785.1	2	300	259	clean	0	0.0	0	1	0	True	21.6
GCA_000069785.1	3	300	271	clean	0	0.0	24	1	0	True	21.6
GCA_000069785.1	4	300	260	clean	0	0.0	19	1	0	True	21.6
GCA_000069785.1	5	300	263	clean	1	0.38	0	2	0	True	21.6
GCA_000069785.1	6	300	265	clean	0	0.0	28	1	0	True	21.6
GCA_000069785.1	7	300	266	clean	0	0.0	0	1	0	True	21.6
GCA_000069785.1	0	1000	631	clean	0	0.0	64	1	0	True	6.5
GCA_000069785.1	1	1000	645	clean	0	0.0	36	1	0	True	6.5
GCA_000069785.1	2	1000	611	clean	0	0.0	53	1	0	True	6.5
GCA_000069785.1	3	1000	636	clean	1	0.08	0	2	0	True	6.5
GCA_000069785.1	4	1000	643	clean	0	0.0	0	1	0	True	6.5
GCA_000069785.1	5	1000	643	clean	1	0.32	0	2	0	True	6.5
GCA_000069785.1	6	1000	615	clean	1	0.09	65	2	0	True	6.5
GCA_000069785.1	7	1000	624	clean	2	0.47	0	3	0	True	6.5
GCA_000300095.1	0	10	10	clean	0	0.0	1	1	0	True	765.1
GCA_000300095.1	1	10	10	clean	0	0.0	1	1	0	True	765.1
GCA_000300095.1	2	10	10	clean	0	0.0	2	2	0	True	765.1
GCA_000300095.1	3	10	10	clean	0	0.0	1	2	0	True	765.1
GCA_000300095.1	4	10	10	clean	0	0.0	1	1	0	True	765.1
GCA_000300095.1	5	10	10	clean	0	0.0	1	1	0	True	765.1
GCA_000300095.1	6	10	10	clean	0	0.0	1	1	0	True	765.1
