host	donor	requested_pct	donor_pct	verdict	donor_contigs	recall_ctg	recall_bp	precision_bp	host_false_pos	donor_as_replicon	duplicated_markers	duplication_pct
GCF_000020045.1	GCF_001449005.1	0.0	0.0	clean	0	None	None	None	0	0	7	1.02
GCF_000020045.1	GCF_001449005.1	1.0	1.04	clean	4	0.0	0.0	None	0	0	8	1.16
GCF_000020045.1	GCF_001449005.1	2.0	2.19	possible	6	0.0	0.0	None	0	0	17	2.47
GCF_000020045.1	GCF_001449005.1	5.0	5.02	likely	21	0.0	0.0	None	0	0	71	10.32
GCF_000020045.1	GCF_001449005.1	10.0	10.07	likely	46	0.0	0.0	None	0	0	98	14.24
GCF_000020045.1	GCF_001449005.1	20.0	20.04	likely	101	0.0	0.0	None	0	3	133	19.33
GCF_000020045.1	GCA_040965455.1	0.0	0.0	clean	0	None	None	None	0	0	7	1.02
GCF_000020045.1	GCA_040965455.1	1.0	1.12	clean	6	0.0	0.0	None	0	0	10	1.45
GCF_000020045.1	GCA_040965455.1	2.0	2.05	possible	9	0.0	0.0	None	0	0	13	1.89
GCF_000020045.1	GCA_040965455.1	5.0	5.09	likely	18	0.0	0.0	None	0	0	58	8.43
GCF_000020045.1	GCA_040965455.1	10.0	10.01	likely	37	0.0	0.0	None	0	2	96	13.95
GCF_000020045.1	GCA_040965455.1	20.0	20.23	likely	98	0.0	0.0	None	0	1	189	27.47
GCF_000020045.1	GCA_001598055.1	0.0	0.0	clean	0	None	None	None	0	0	7	1.02
GCF_000020045.1	GCA_001598055.1	1.0	1.02	clean	4	0.5	0.848	1.0	0	0	9	1.31
GCF_000020045.1	GCA_001598055.1	2.0	2.05	possible	6	1.0	1.0	1.0	0	0	17	2.47
GCF_000020045.1	GCA_001598055.1	5.0	5.04	likely	21	0.81	0.905	1.0	0	2	80	11.63
GCF_000020045.1	GCA_001598055.1	10.0	10.01	likely	42	0.929	0.98	0.598	21	0	96	13.95
GCF_000020045.1	GCA_001598055.1	20.0	20.06	likely	101	0.693	0.876	0.747	19	0	262	38.08
GCF_013366925.1	GCA_900249745.1	0.0	0.0	clean	0	None	None	0.0	1	0	8	1.16
GCF_013366925.1	GCA_900249745.1	1.0	1.02	possible	6	0.167	0.21	0.736	1	0	21	3.05
GCF_013366925.1	GCA_900249745.1	2.0	2.14	possible	10	0.2	0.209	0.855	1	0	17	2.47
GCF_013366925.1	GCA_900249745.1	5.0	5.03	likely	21	0.0	0.0	0.0	1	0	33	4.8
GCF_013366925.1	GCA_900249745.1	10.0	10.34	likely	45	0.067	0.076	1.0	0	0	123	17.88
GCF_013366925.1	GCA_900249745.1	20.0	20.22	likely	104	0.01	0.002	1.0	0	4	227	32.99
